level,agent_idx
0.3000207429232158,0
0.8407683753123416,1
0.7916707050161811,2
9.153885452358829e-40,3
0.5443940160437958,4
0.41049942295858116,5
0.6351472604217644,6
1.118147598534214e-25,7
0.13974401036796127,8
0.8731850552083035,9
5.5056233588779534e-05,10
1.6616947768332862e-08,11
0.2178601936671562,12
0.0404362043568498,13
0.784350022064349,14
0.4187054181908207,15
1.0,16
0.6666257518461023,17
1.0,18
1.0,19
0.49796071605064557,20
1.0,21
1.0,22
0.47864195261525133,23
2.1122444730773407e-38,24
1.0,25
2.7769015932610727e-42,26
0.9999999925134414,27
0.24474963730008897,28
6.821349918684454e-09,29
0.9999999999999976,30
3.422437255499098e-73,31
1.0,32
0.5468843579845086,33
8.115675480948729e-60,34
1.0,35
1.0,36
0.9999999825658421,37
0.0005627874184448389,38
1.3989878025190173e-17,39
4.347501832487389e-73,40
1.2801969806618755e-28,41
3.0973144017991196e-44,42
0.47556006170426157,43
0.4946904557134358,44
0.5723277656804596,45
1.1019530992826498e-185,46
0.3401953815845087,47
0.25195202302963643,48
1.0,49
0.3085564422852347,50
0.6083857704554163,51
1.0,52
0.7489216658787182,53
1.0,54
0.43945042890137226,55
1.0,56
1.0,57
0.02939189998773635,58
0.7654198687210851,59
0.21961855336803307,60
5.26833192249929e-07,61
2.6097359165671143e-38,62
1.0,63
3.362189046959221e-24,64
1.0,65
0.540586623224973,66
6.521766054227269e-88,67
1.0,68
1.0,69
1.0,70
9.233609112970961e-77,71
1.0,72
0.25132333343537283,73
1.0,74
7.404310994548147e-40,75
0.9999999999999076,76
1.0,77
1.0,78
0.3329875764899411,79
5.498945621030193e-26,80
0.3335530488039283,81
4.214424262150303e-38,82
1.0,83
1.594505463900505e-60,84
0.038412313778722625,85
3.9488805142649996e-13,86
3.448787362633174e-26,87
3.8822604658356286e-20,88
0.4726422821118205,89
7.077446928933091e-37,90
0.539164820281478,91
2.9519307540781148e-92,92
1.0,93
7.673597062496995e-80,94
2.0825831853534708e-36,95
0.5610062275146492,96
0.6381914293168558,97
0.024982403736472272,98
4.608889691649852e-28,99
